年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國107年,第2次,醫學(四),57,"下列有關多發性硬化症(multiple sclerosis)的敘述,何者正確?","典型的多發性硬化症發生於20~40歲的年輕人,而且男性明顯多於女性","常見的症狀包括脊髓脫髓鞘病變、兩側聽神經麻痺及大面積類中風症狀 <sub> </sub>C.多發性硬化症的患者時常在背部有類似電流流過的現象,這種現象常因向後伸展頸椎而得到舒緩,這種表 徵稱為Lhermitte表徵",,"某些多發性硬化症的患者在體溫升高的情形下會引發或加重其發作,這種現象稱為Uhthoff 現象",D,原始,[]
民國107年,第2次,醫學(四),58,下列何者的異常值高低和粒線體疾病的病況嚴重程度最相關?,血中乳酸量的高低,"血中乳酸去氫酶(lactic dehydrogenase, LDH)的活性",脊髓液中的蛋白質含量,脊髓液中免疫球蛋白G的指數(IgG index),A,原始,[]
民國107年,第2次,醫學(四),59,"72歲男性,出現波動性的認知障礙及注意力不集中(fluctuating cognitive and attention disturbances),並 且有視幻覺(visual hallucination)。這半年來,除了上述病症加劇外,病人出現記憶力衰退,肢體僵硬,步 態緩慢,並容易跌倒。其最可能的診斷為何?",阿茲海默症(Alzheimer disease),路易氏體失智症(dementia with Lewy bodies),巴金森氏失智症(Parkinson disease dementia),進行性核上麻痺(progressive supranuclear palsy),B,原始,[]
民國107年,第2次,醫學(四),60,"承上題,所述病症,最可能是下列何種蛋白不正常堆積?",tau蛋白(tau protein),β-類澱粉蛋白(β-amyloid protein),α-突觸核蛋白(α-synuclein protein),普里昂蛋白(prion protein),C,原始,[]
民國107年,第2次,醫學(四),61,"有關甲狀腺亢進與精神疾病的關聯性,下列何者正確?","甲狀腺亢進可能引發情緒激躁、意念飛躍等躁症症狀,但不致於引起憂鬱情緒",甲狀腺亢進不致於出現幻覺或被害意念之精神病症狀,甲狀腺亢進與甲狀腺低下均可能引起認知障礙,"甲狀腺亢進會引起心跳加速,但不列入恐慌症之鑑別診斷",C,原始,[]
民國107年,第2次,醫學(四),62,下列何者為思覺失調症(schizophrenia)預後不佳的預測因子?,有明顯的誘發因子(precipitating factors),急性發作,情緒症狀,負性症狀(negative symptoms),D,原始,[]
民國107年,第2次,醫學(四),63,"有關罹患重鬱症的患者可能會出現 melancholic 特徵,下列敘述何者正確?",在晚上呈現更憂鬱情緒,與自主神經系統及內分泌系統之改變無關,肇因於外在壓力事件,主要特徵為缺乏興趣(anhedonia)、早醒與體重下降等,D,原始,[]
民國107年,第2次,醫學(四),64,下列何者不是第一型雙極性疾患(bipolar I disorder)預後較差的危險因子?,男性,發作時伴隨有精神病症狀,個案發病年齡較大,合併酒精依賴,C,原始,[]
民國107年,第2次,醫學(四),65,"關於第一型雙極性疾患(bipolar I disorder)的敘述,下列何者錯誤?","多數個案第一次發作為憂鬱症,而非躁症","只有極少數躁症個案,會有幻覺或妄想產生",主要的治療藥物為情緒穩定劑,男性的個案常合併物質濫用,B,原始,[]
民國107年,第2次,醫學(四),66,焦慮時下列何者不是其生理症狀?,瞳孔縮小,呼吸急促,胸悶,腹瀉,A,原始,[]
民國107年,第2次,醫學(四),67,"高先生的太太觀察到高先生半夜起來走出房門,甚至打開冰箱取用食物,家人呼喊也未能叫醒,隔天清晨高 先生對於這些事情沒有印象,這種情形發生在睡眠的那一期?","非快速動眼期的第一期(non-REM, stage I)","非快速動眼期的第二期(non-REM, stage II)","非快速動眼期的第三、四期(non-REM, stages III &amp; IV)",快速動眼期(REM),C,原始,[]
民國107年,第2次,醫學(四),68,"當戒菸治療的取代療法(replacement therapy)失敗,可以考慮下列那一種藥物?",trazodone,bupropion,citalopram,venlafaxine,B,原始,[]
民國107年,第2次,醫學(四),69,"下列有關頭部受傷(head trauma)引起精神症狀敘述,何者錯誤?","頭部受傷6至12個月後若症狀仍未改善,則可能會慢性化",注意力不集中、記憶變差及學習新資訊有困難是常見的認知功能障礙,行為問題包括:憂鬱、易衝動、攻擊性增加及人格改變,"對藥物反應較慢,因此需要較高的初始劑量及較快地調劑速度才能達到療效",D,原始,[]
民國107年,第2次,醫學(四),70,"有關濫用大麻(cannabis)的作用,下列何者正確?",其依賴主要為生理的依賴(physical dependence)而較少心理的依賴,中毒時其動作協調變差(impaired motor coordination) <sub> </sub>C.戒斷時會產生嗜睡及食慾增加之症狀,,常見的生理反應包括明顯心搏變緩(bradycardia)及瞳孔縮小,B,原始,[]
民國107年,第2次,醫學(四),71,有關酒精戒斷下列何者錯誤?,"酒精戒斷會引起譫妄(delirium),但若其本身就已有身體疾病則較易引起譫妄","酒精戒斷會引起攻擊,因此需盡快將患者約束在床上",常須給benzodiazepine類藥物治療,避免給抗精神病藥物(antipsychotics),B,原始,[]
民國107年,第2次,醫學(四),72,"關於輕度智能障礙(mild mental retardation)的敘述,下列何者錯誤?","智商約為70~85,是最常見的智能障礙,約占智能障礙總人數的85%",通常到小學一、二年級才被發現跟不上功課,"到國、高中的年紀,其學業能力約相當於小學六年級的學生",合併出現行為規範障礙症(conduct disorder)的機會大於合併出現自閉症(autistic disorder),A,原始,[]
民國107年,第2次,醫學(四),73,"治療注意力缺損/過動疾患(attention-deficit / hyperactivity disorder)之兒童青少年病患使用神經刺激劑 (stimulants)前,那個不是一般建議要先測量的項目?",血壓,心跳,血糖,身高,C,原始,[]
民國107年,第2次,醫學(四),74,「做夢(dreaming)」主要出現在下列那一個睡眠週期?,stage I,stage II,stage III,快速動眼期睡眠(REM sleep),D,原始,[]
民國107年,第2次,醫學(四),75,"關於人格違常(personality disorder),下列敘述何者正確?",邊緣性人格違常(borderline personality disorder)男性個案是女性個案的兩倍,"反社會人格違常(antisocial personality disorder)相較一般大眾並沒有較高比率的酒精或物質濫用 <sub> </sub>C.強迫性人格違常(obsessive-compulsive personality disorder)的核心症狀是完美主義並且缺乏彈性,但他 們仍保有良好的社交技巧,交友並不受影響",,"人格違常常共病其他精神疾病,如物質濫用,憂鬱症,焦慮症等",D,原始,[]
民國107年,第2次,醫學(四),76,"7歲男童因突發性高燒、吞嚥困難就醫,在對比劑注射後,接受電腦斷層掃描檢查如圖示,箭號所指病灶最 可能診斷為何?",扁桃腺炎,咽喉後膿瘍,咽喉癌,甲狀腺水囊,B,原始,[]
民國107年,第2次,醫學(四),77,"一位1歲女嬰因呼吸急促至急診就醫,身體檢查發現有吐氣末端哮鳴(end-expiratory wheezing),若因感染 造成,下列敘述何者最不恰當?",嚴重病人常發生於1歲以下,最常見的病毒為RSV(respiratory syncytial virus),傳染途徑主要為空氣傳染(air-borne),"常先有上呼吸道症狀如流鼻水,然後發生哮鳴(wheezing)",C,原始,['images/107080_22_q077_i0.jpg']
民國107年,第2次,醫學(四),78,"某天您在某小型醫院的急診室值班,電腦斷層室技術員突然來電告知您電腦斷層發生不明原因之故障,無法 進行檢查。隨後,一位60歲男性病患被家屬送到急診,告訴您該病患在半小時之前突然右側肢體無力,講話 不清楚,吞口水頻頻嗆到且有嘔吐。您檢視該名病患時,發現他的Glasgow Coma Scale只有EVM,血壓 224 170/100 mmHg,心跳每分鐘120下,下列處置何者最不恰當?","儘速給予aspirin的治療,並轉院到有頭部電腦斷層的醫院進行進一步處理","馬上維持呼吸道的暢通,必要時給予插管,儘速轉院至有頭部電腦斷層的醫院","病人血壓雖然偏高,但目前不考慮給予降血壓之藥物治療","轉院前要事先聯絡待轉院醫院,以及早做準備",A,原始,[]
民國107年,第2次,醫學(四),79,"3天大的陳小弟因為一種很少見的先天性疾病(Pierre-Robin Syndrome)住在嬰兒室,你必須為他照相以在 討論會中使用,但是陳家正處於產下畸形兒的傷痛中,下列何種處理方式是最好的?","照相不會傷害病人,不需家屬同意",須取得家屬同意才能照相,"討論案例時在顯示病人照片時遮蓋其眼睛,使他人無法辨認,不需家屬同意",向人體試驗委員會申請照相,B,原始,[]
民國107年,第2次,醫學(四),80,"患有精神疾病之家庭主婦D,因急性腹痛數天,被家屬帶至急診求助,經外科醫師診斷為急性闌尾炎併發之 急性腹膜炎。外科醫師完善告知D及其家屬關於D之病情後,建議緊急開刀,然而D確信自己乃是造成世界災 難的罪人,應該以死贖罪,拒絕接受任何勸說及解釋,亦拒絕簽署手術同意書及麻醉同意書。外科醫師照會 精神科醫師P,P應作何處理或建議,較為恰當?",建議外科醫師尊重D不接受手術之自主決定,"P應以心理治療之技巧,勸D接受手術 <sub> </sub>C.D之醫療決定能力受其精神疾病之影響,脫離現實,無同意或拒絕手術之意思能力,P應建議由其家屬代為 簽署手術同意書及麻醉同意書",,"建議外科醫師給予D抗精神病藥物,待D之妄想消解之後,再勸其接受手術",C,原始,[]
民國108年,第1次,醫學(三),1,"⼀位40歲女性,因⾞禍接受頭部電腦斷層攝影檢查,發現腦下垂體部位有空蝶鞍(empty sella)現象。她⽬ 前⽉經正常,飯前⾎糖90 mg/dL,PR 80/min,BP 130/80 mmHg,free T4 1.2 ng/dL(normal range 0.8~ 1.8 ng/dL), TSH 1.0μIU/mL(normal range 0.1~2.0 μIU/mL),early morning cortisol 15 μg/dL(normal range 8~18 μg/dL)。下列處置何者最恰當?",經蝶鞍腦下垂體⼿術(transsphenoid surgery),放射治療(radiation therapy),藥物(bromocriptine therapy),說明病情使病患放⼼(reassurance),D,原始,[]
民國108年,第1次,醫學(三),2,"⼀位35歲的男性,因為意識不清被家⼈送⾄急診就醫,抽⾎檢查發現⾎鈉過⾼(160 mEq/L,參考值135~ 145 mEq/L)。有關⾼⾎鈉(hypernatremia)的處理,下列描述何者最適當?","估算全⾝⽔量(total-body water):女性是體重的60%,⽽男性是體重的50%","此病患若體重70公⽄,計算free water缺乏量(free-water deficit)約5000 c.c.",不易感知的⽔分流失(insensible losses)約5 mL/kg/day,"⾎鈉的矯正儘量不超過10 mM/day,以避免腦部⽔腫(cerebral edema)",D,原始,[]
民國108年,第1次,醫學(三),3,"⼀位35歲男性因慢性腹瀉就醫,此症狀在食⽤麵粉製品後會加劇,少吃會較緩解。⾎液學檢查顯⽰⾎紅素11.5 gm/dL,⽩⾎球及⾎⼩板正常,⽽⽣化學檢查顯⽰⾎鈣稍低(2.15 mmol/L,正常2.2~2.5 mmol/L),⾎清肌 酸酐(creatinine,0.6 mg/dL)、鈉(139 mEq/L)及鉀(3.8 mEq/L)則在正常範圍,⾎中IgA tissue transglutaminase antibody為陽性。此病⼈最可能的診斷為何?",irritable bowel syndrome,celiac disease,eosinophilic gastroenteritis,Crohn's disease,B,原始,[]
民國108年,第1次,醫學(三),4,"下列各項有關瓣膜性⼼臟病的敘述,何者正確?","⼆尖瓣狹窄最常⾒的原因是風濕性(rheumatic)慢性發炎造成,常⾒在四、五⼗歲女性,臺灣近年病例數 有減少趨勢","⾺凡⽒症候群(Marfan's syndrome)是主動脈瓣逆流的原因之⼀,聽診時病⼈胸前有舒張期雜⾳,且第⼆ ⼼⾳(S)變⼤聲","主動脈瓣或⼆尖瓣急性逆流達中度以上、且伴有⼼衰竭症狀時,不應使⽤⾎管擴張劑,並應及早開⼑治療","單純主動脈瓣狹窄或單純⼆尖瓣狹窄病患,⼼導管均顯⽰左⼼室舒張末壓(LVEDP)升⾼",A,原始,[]
民國108年,第1次,醫學(三),5,"⼀位23歲男性因⼼悸⾄⾨診檢查,⼼電圖顯⽰如下圖,其附屬路徑或旁道(accessory pathway)最可能位在 何處?",右⼼室側壁(right free wall),左⼼室側壁(left lateral ventricle),前中膈(anterior septum),後中膈(posterior septum),B,原始,"['images/108030_11_q005_i0.jpg', 'images/108030_11_q005_i1.jpg']"
民國108年,第1次,醫學(三),6,"⼀位82歲男性,有⾼⾎壓與慢性腎臟疾病,主訴最近疲倦無⼒,⾎壓152/90 mmHg,呼吸15次/分,⼼跳65 次/分,體溫36.5℃,⼼電圖顯⽰如下圖,其最可能為何種電解質異常?",⾼⾎鈣症(hypercalcemia),低⾎鈣症(hypocalcemia),⾼⾎鉀症(hyperkalemia),低⾎鉀症(hypokalemia),C,原始,[]
民國108年,第1次,醫學(三),7,"⼀位36歲女性無任何過去病史,因連續3⽇胸痛⾄急診求診。胸痛於特定姿勢可較緩解。她否認近⽇有使⽤藥 物或創傷史,但⽬前有喉嚨痛等感冒症狀。抽⾎檢查發現D-dimer與⼼肌酶正常,但⽩⾎球與發炎指數 (hsCRP)均有輕微升⾼現象。⼼電圖檢查如下圖所⽰。⼼臟超⾳波檢查顯⽰⼼臟收縮功能正常,且無局部 室壁活動異常(regional wall motion abnormality),可⾒少量⼼包膜積液。其最可能診斷為何?",急性冠⼼病,⼼肌炎,⼼包膜炎,肺栓塞,C,原始,[]
民國108年,第1次,醫學(三),8,"⼀位28歲女性因運動性呼吸困難⼤約半年⾄⼼臟科⾨診求診。病患否認有胸悶,端坐呼吸或陣發性夜間呼吸 困難情形,⼤約在1週前突發性⼼悸不適狀況。⾝體診察發現有隨呼吸固定第⼆⼼⾳分裂(fixed splitting S) 以及輕微收縮期⼼雜⾳。⼼電圖顯⽰⼼軸右偏(right axis deviation)及V1 rSR’。胸部X光顯⽰右⼼房及肺動 脈擴⼤。該病患最可能診斷為何?",⼼房中膈缺損(atrial septal defect),⼼室中膈缺損(ventricular septal defect),主動脈縮窄(coarctation of the aorta),法洛⽒四合症(tetralogy of Fallot),A,原始,['images/108030_11_q008_i0.jpg']
民國108年,第1次,醫學(三),9,"王先⽣接受上下肢⾎壓的檢查,下肢dorsalis pedis artery收縮壓為90 mmHg,上臂測得的⾎壓為150/75 mmHg,平均⾎壓為100 mmHg,以下敘述何者正確?",ankle-brachial index為0.6,"因下肢少了舒張壓的資料,無法計算ankle-brachial index",ankle-brachial index為0.9,"因下肢測量部位為dorsalis pedis artery,無法計算ankle-brachial index",A,原始,[]
民國108年,第1次,醫學(三),10,"李先⽣因呼吸困難⽽到醫院就診,在診間醫師問完病史後,就作⾝體診察,其中包括了abdominojugular reflex,結果發現原本無異樣的頸靜脈有明顯的⿎漲,⾄少在鎖骨上超過5公分。下列敘述何者最恰當:",⼤⾎管動脈端有pressure overload,有volume overload,為紐約⼼臟協會的⼼衰竭功能分類(NYHA functional classification)的第四級,有左側⼼衰竭,B,原始,[]
民國108年,第1次,醫學(三),11,"下列改變⾎⾏動⼒學(hemodynamics)的動作,與⼼臟雜⾳之間的關係何者錯誤?","當雙⼿緊握時(hand grip),僧帽瓣閉鎖不全的雜⾳強度會因為⾎流增加⽽增加","當病患進⾏佛薩⽡⽒壓⼒均衡呼吸法(Valsalva maneuver)時,如果是主動脈狹窄的病患雜⾳⻑度與強度 都會減少","當病患進⾏完佛薩⽡⽒壓⼒均衡呼吸法(Valsalva maneuver)後,⼼臟右側雜⾳恢復到原來強度的速度快 於左側的⼼雜⾳","當從坐姿站立時,若有⼼室出⼝阻塞性⼼肌病變(hypertrophic obstructive cardiomyopathy, HOCM)時, ⼼雜⾳聲⾳會因為⾎流減少⽽減弱",D,原始,[]
